"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 03 17:37:27 IST 2022","Thu Nov 03 17:37:29 IST 2022","1490","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""Eye Candy""",""
"passed","Thu Nov 03 17:35:21 IST 2022","Thu Nov 03 17:35:24 IST 2022","2711","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""tim burton""",""
"passed","Thu Nov 03 17:43:51 IST 2022","Thu Nov 03 17:43:59 IST 2022","7608","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""sun flare""",""
"passed","Thu Nov 03 17:27:38 IST 2022","Thu Nov 03 17:27:47 IST 2022","9723","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""drone""",""
"failed","Thu Nov 03 17:38:10 IST 2022","Thu Nov 03 17:38:17 IST 2022","7512","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""black & white""",""
"passed","Thu Nov 03 17:34:58 IST 2022","Thu Nov 03 17:35:04 IST 2022","5291","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""tecnology""",""
"passed","Thu Nov 03 17:32:32 IST 2022","Thu Nov 03 17:32:43 IST 2022","10891","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""running water""",""
"failed","Thu Nov 03 17:41:16 IST 2022","Thu Nov 03 17:41:19 IST 2022","3525","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""intro""",""
"passed","Thu Nov 03 17:36:33 IST 2022","Thu Nov 03 17:37:02 IST 2022","28675","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""woman in a dreamy scene""",""
"passed","Thu Nov 03 17:23:57 IST 2022","Thu Nov 03 17:24:09 IST 2022","12311","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""amazing view/scenery""",""
"passed","Thu Nov 03 17:29:17 IST 2022","Thu Nov 03 17:29:27 IST 2022","10173","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""golden hour""",""
"failed","Thu Nov 03 17:37:30 IST 2022","Thu Nov 03 17:37:31 IST 2022","1118","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""amazing view/scenery""",""
"failed","Thu Nov 03 17:40:38 IST 2022","Thu Nov 03 17:40:46 IST 2022","7757","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""green leaves""",""
"passed","Thu Nov 03 17:39:26 IST 2022","Thu Nov 03 17:39:35 IST 2022","8962","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""earth""",""
"failed","Thu Nov 03 17:44:22 IST 2022","Thu Nov 03 17:44:29 IST 2022","6487","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""vj""",""
"failed","Thu Nov 03 17:44:32 IST 2022","Thu Nov 03 17:44:35 IST 2022","2800","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""war zone""",""
"passed","Thu Nov 03 17:27:23 IST 2022","Thu Nov 03 17:27:26 IST 2022","2229","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""domestic violence""",""
"failed","Thu Nov 03 17:38:53 IST 2022","Thu Nov 03 17:38:55 IST 2022","1993","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""cinematic shot""",""
"failed","Thu Nov 03 17:40:55 IST 2022","Thu Nov 03 17:41:06 IST 2022","10907","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""holding hands""",""
"failed","Thu Nov 03 17:43:59 IST 2022","Thu Nov 03 17:44:01 IST 2022","1867","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""sustainability""",""
"passed","Thu Nov 03 17:34:38 IST 2022","Thu Nov 03 17:34:49 IST 2022","11090","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""tea pot""",""
"failed","Thu Nov 03 17:29:33 IST 2022","Thu Nov 03 17:29:35 IST 2022","2101","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""goosebumps""",""
"passed","Thu Nov 03 17:24:09 IST 2022","Thu Nov 03 17:24:19 IST 2022","10037","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""artgrid""",""
"failed","Thu Nov 03 17:41:38 IST 2022","Thu Nov 03 17:41:49 IST 2022","11163","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""mobile""",""
"passed","Thu Nov 03 17:43:25 IST 2022","Thu Nov 03 17:43:27 IST 2022","1828","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""spaceship""",""
"passed","Thu Nov 03 17:31:25 IST 2022","Thu Nov 03 17:31:35 IST 2022","9591","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""modern dance""",""
"failed","Thu Nov 03 17:27:47 IST 2022","Thu Nov 03 17:27:57 IST 2022","9591","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""earth""",""
"passed","Thu Nov 03 17:33:01 IST 2022","Thu Nov 03 17:33:10 IST 2022","8917","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""slow motion""",""
"passed","Thu Nov 03 17:32:22 IST 2022","Thu Nov 03 17:32:32 IST 2022","9245","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""reverb""",""
"failed","Thu Nov 03 17:43:42 IST 2022","Thu Nov 03 17:43:43 IST 2022","802","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""stunning view/scenery""",""
